order_id,order_date,customer_id,product_id,store_id,quantity,discount,payment_method,gross_revenue,discount_amount,revenue,cost_amount,profit
O0000028,2026-02-21,C03741,P0095,S007,1,0.05,Cash,2561.46,128.073,2433.39,1776.07,657.32
O0000029,2025-11-01,C05708,P0028,S007,1,0.0,Cash,1690.65,0.0,1690.65,1297.84,392.81
O0000030,2025-01-16,C02788,P0063,S004,3,0.0,Card,690.12,0.0,690.12,595.35,94.77
O0000031,2026-03-06,C02703,P0032,S002,3,0.0,Cash,2605.74,0.0,2605.74,1892.7,713.04
O0000032,2025-09-01,C00285,P0103,S010,4,0.1,Online,6761.44,676.144,6085.3,5601.64,483.66
O0000033,2025-05-26,C03019,P0023,S002,5,0.15,Card,982.5,147.375,835.12,834.45,0.67
O0000034,2026-06-02,C05114,P0050,S001,1,0.1,Card,497.89,49.789,448.1,421.08,27.02
O0000035,2026-04-15,C01704,P0116,S006,4,0.1,Card,4748.44,474.844,4273.6,3679.8,593.8
O0000036,2025-08-29,C03705,P0006,S004,4,0.05,Online,7183.72,359.18600000000004,6824.53,4930.64,1893.89
O0000037,2025-08-31,C04874,P0160,S014,2,0.0,Card,3518.4,0.0,3518.4,3092.08,426.32
O0000038,2026-05-13,C01303,P0167,S002,2,0.05,Card,3487.32,174.366,3312.95,2529.16,783.79
O0000039,2025-04-15,C00018,P0044,S006,5,0.05,Bank Transfer,10799.05,539.9525,10259.1,8046.35,2212.75
O0000040,2025-08-12,C01663,P0022,S002,5,0.0,Card,4316.5,0.0,4316.5,3460.15,856.35
O0000041,2025-11-08,C00234,P0058,S014,2,0.0,Card,3232.32,0.0,3232.32,2829.46,402.86
O0000042,2025-07-09,C04467,P0070,S014,5,0.05,Cash,4353.75,217.6875,4136.06,3775.55,360.51
O0000043,2025-06-22,C01951,P0146,S004,5,0.0,Card,426.0,0.0,426.0,272.15,153.85
O0000044,2025-02-28,C04906,P0160,S010,4,0.0,Cash,7036.8,0.0,7036.8,6184.16,852.64
O0000045,2025-05-26,C04586,P0157,S006,1,0.1,Card,780.71,78.07100000000001,702.64,677.14,25.5
O0000046,2025-07-15,C04359,P0106,S014,2,0.0,Bank Transfer,4520.32,0.0,4520.32,2887.46,1632.86
O0000047,2026-04-03,C01505,P0093,S005,1,0.0,Online,1017.32,0.0,1017.32,793.85,223.47
O0000048,2025-07-03,C01249,P0104,S012,2,0.0,Card,170.12,0.0,170.12,149.46,20.66
O0000049,2025-03-29,C01870,P0087,S014,1,0.2,Bank Transfer,1363.46,272.692,1090.77,1034.65,56.12
O0000050,2026-04-08,C00441,P0033,S008,4,0.05,Online,5163.84,258.192,4905.65,3493.28,1412.37
O0000051,2025-07-12,C02002,P0023,S009,5,0.1,Card,982.5,98.25,884.25,834.45,49.8
O0000052,2026-05-18,C02625,P0034,S003,1,0.1,Cash,1396.45,139.645,1256.8,888.37,368.43
O0000053,2025-03-01,C03254,P0148,S006,3,0.15,Card,5495.7300000000005,824.3595,4671.37,3433.35,1238.02
O0000054,2025-01-12,C03237,P0169,S010,5,0.15,Card,2122.1,318.315,1803.78,1857.7,-53.92
O0000055,2026-05-19,C04901,P0049,S011,1,0.0,Card,2333.36,0.0,2333.36,1749.57,583.79
O0000056,2025-02-23,C03242,P0128,S013,3,0.15,Card,4586.1,687.9150000000001,3898.19,4018.26,-120.07
O0000057,2025-01-05,C04672,P0102,S010,1,0.1,Online,1851.88,185.188,1666.69,1615.69,51.0
O0000058,2025-12-18,C03307,P0099,S014,4,0.0,Card,9774.56,0.0,9774.56,6616.04,3158.52
O0000059,2025-06-23,C01343,P0136,S013,4,0.0,Card,4150.32,0.0,4150.32,3145.84,1004.48
O0000060,2025-09-22,C04257,P0002,S004,1,0.0,Online,1938.95,0.0,1938.95,1482.74,456.21
O0000061,2025-08-11,C05880,P0143,S001,3,0.0,Card,4830.33,0.0,4830.33,3182.85,1647.48
O0000062,2025-06-12,C03408,P0148,S008,3,0.1,Online,5495.7300000000005,549.5730000000001,4946.16,3433.35,1512.81
O0000063,2025-09-20,C03501,P0087,S011,5,0.15,Card,6817.3,1022.595,5794.7,5173.25,621.45
O0000064,2025-05-22,C01422,P0114,S007,5,0.1,Card,2127.5,212.75,1914.75,1348.9,565.85
O0000065,2025-05-03,C04552,P0039,S007,1,0.0,Card,2011.43,0.0,2011.43,1649.66,361.77
O0000066,2025-05-03,C00238,P0014,S011,2,0.15,Card,2328.0,349.2,1978.8,1706.52,272.28
O0000067,2025-03-06,C04317,P0045,S003,4,0.15,Card,6102.68,915.402,5187.28,4777.48,409.8
O0000068,2025-10-14,C02881,P0078,S006,3,0.0,Card,4624.29,0.0,4624.29,3712.44,911.85
O0000069,2025-10-27,C05585,P0036,S002,1,0.1,Online,73.2,7.32,65.88,48.69,17.19
O0000070,2025-01-10,C01137,P0021,S004,1,0.0,Card,1079.09,0.0,1079.09,906.87,172.22
O0000071,2025-09-08,C02907,P0094,S008,3,0.05,Card,7468.469999999999,373.4235,7095.05,5057.07,2037.98
O0000072,2026-02-08,C02455,P0095,S006,2,0.0,Card,5122.92,0.0,5122.92,3552.14,1570.78
O0000073,2025-01-01,C04978,P0090,S011,5,0.15,Card,5594.049999999999,839.1074999999998,4754.94,3796.55,958.39
O0000074,2025-06-14,C01372,P0098,S004,3,0.0,Card,2124.24,0.0,2124.24,1616.07,508.17
O0000075,2026-06-09,C02453,P0138,S014,3,0.0,Card,3659.46,0.0,3659.46,2662.35,997.11
O0000076,2025-08-22,C02899,P0069,S003,4,0.15,Card,1636.68,245.502,1391.18,1339.52,51.66
O0000077,2025-01-10,C03386,P0068,S007,3,0.0,Online,4198.17,0.0,4198.17,2739.3,1458.87
O0000078,2025-10-15,C01403,P0154,S011,4,0.2,Cash,5685.28,1137.056,4548.22,3546.24,1001.98
O0000079,2025-08-13,C02462,P0107,S012,4,0.0,Card,6945.96,0.0,6945.96,6039.92,906.04
O0000080,2025-04-26,C01806,P0121,S012,5,0.0,Card,7331.599999999999,0.0,7331.6,5113.65,2217.95
O0000081,2025-02-10,C00919,P0060,S004,5,0.1,Card,10808.0,1080.8,9727.2,7816.25,1910.95
O0000082,2026-04-28,C01142,P0113,S009,3,0.05,Online,3686.31,184.3155,3501.99,2492.46,1009.53
O0000083,2026-03-20,C01216,P0071,S002,5,0.0,Card,1447.25,0.0,1447.25,959.95,487.3
O0000084,2026-01-08,C03572,P0160,S001,4,0.0,Card,7036.8,0.0,7036.8,6184.16,852.64
O0000085,2025-01-10,C04440,P0105,S010,3,0.0,Bank Transfer,5298.39,0.0,5298.39,4333.95,964.44
O0000086,2026-04-21,C04105,P0097,S013,1,0.0,Card,1412.08,0.0,1412.08,1238.11,173.97
O0000087,2025-09-16,C00044,P0130,S010,5,0.0,Online,5256.849999999999,0.0,5256.85,3316.05,1940.8
O0000088,2025-09-17,C03233,P0056,S013,1,0.0,Card,236.58,0.0,236.58,199.56,37.02
O0000089,2026-04-25,C01336,P0114,S006,5,0.05,Card,2127.5,106.375,2021.12,1348.9,672.22
O0000090,2025-08-25,C05986,P0009,S007,2,0.0,Cash,4299.82,0.0,4299.82,3000.98,1298.84
O0000091,2025-05-09,C00876,P0113,S002,3,0.0,Online,3686.31,0.0,3686.31,2492.46,1193.85
O0000092,2025-05-10,C02557,P0103,S008,3,0.0,Card,5071.08,0.0,5071.08,4201.23,869.85
O0000093,2026-05-22,C03355,P0161,S001,1,0.05,Online,81.22,4.061,77.16,63.0,14.16
O0000094,2025-10-25,C01104,P0146,S012,4,0.0,Online,340.8,0.0,340.8,217.72,123.08
O0000095,2025-11-13,C00320,P0009,S006,1,0.0,Bank Transfer,2149.91,0.0,2149.91,1500.49,649.42
O0000096,2025-11-20,C04950,P0077,S011,2,0.0,Online,1702.1,0.0,1702.1,1335.7,366.4
O0000097,2025-05-01,C01915,P0003,S001,2,0.1,Online,373.72,37.37200000000001,336.35,248.46,87.89
O0000098,2025-08-18,C02724,P0124,S008,5,0.05,Card,12463.7,623.185,11840.52,7983.3,3857.22
O0000099,2026-06-04,C04462,P0125,S006,5,0.0,Card,9030.9,0.0,9030.9,7208.85,1822.05
O0000100,2025-03-21,C02281,P0054,S005,3,0.0,Card,3750.0,0.0,3750.0,2653.71,1096.29
O0000101,2026-06-04,C02739,P0040,S003,5,0.2,Card,5073.0,1014.6,4058.4,3369.75,688.65
O0000102,2025-05-30,C03230,P0001,S011,1,0.1,Card,1041.6,104.16,937.44,816.19,121.25
O0000103,2025-06-11,C04524,P0145,S011,2,0.0,Online,2732.36,0.0,2732.36,2278.38,453.98
O0000104,2025-01-08,C00812,P0115,S008,3,0.05,Card,5325.93,266.29650000000004,5059.63,3787.8,1271.83
O0000105,2025-12-29,C05999,P0124,S004,4,0.1,Card,9970.96,997.096,8973.86,6386.64,2587.22
O0000106,2025-06-24,C05476,P0010,S014,3,0.0,Card,5584.29,0.0,5584.29,4351.59,1232.7
O0000107,2025-09-08,C03717,P0089,S014,2,0.0,Card,528.08,0.0,528.08,448.64,79.44
O0000108,2025-11-14,C04935,P0180,S005,3,0.0,Card,307.08,0.0,307.08,250.59,56.49
O0000109,2025-12-13,C04181,P0075,S005,4,0.15,Cash,4300.2,645.03,3655.17,3353.64,301.53
O0000110,2026-06-06,C05570,P0054,S010,3,0.0,Card,3750.0,0.0,3750.0,2653.71,1096.29
O0000111,2025-10-31,C00190,P0040,S010,4,0.0,Card,4058.4,0.0,4058.4,2695.8,1362.6
O0000112,2025-04-08,C02851,P0126,S005,2,0.05,Card,504.8,25.24,479.56,434.76,44.8
O0000113,2026-01-20,C05883,P0069,S002,3,0.05,Bank Transfer,1227.51,61.3755,1166.13,1004.64,161.49
O0000114,2025-01-31,C01990,P0075,S014,4,0.05,Bank Transfer,4300.2,215.01,4085.19,3353.64,731.55
O0000115,2026-04-06,C05037,P0038,S006,4,0.1,Card,6890.88,689.0880000000001,6201.79,4761.48,1440.31
O0000116,2025-06-11,C00842,P0098,S005,5,0.0,Card,3540.4,0.0,3540.4,2693.45,846.95
O0000117,2026-01-30,C00030,P0066,S007,3,0.1,Card,165.84,16.584,149.26,143.55,5.71
O0000118,2025-03-27,C03990,P0040,S013,4,0.15,Online,4058.4,608.76,3449.64,2695.8,753.84
O0000119,2025-08-11,C05501,P0050,S002,2,0.05,Card,995.78,49.789,945.99,842.16,103.83
O0000120,2026-01-15,C01412,P0121,S002,2,0.05,Online,2932.64,146.632,2786.01,2045.46,740.55
O0000121,2025-12-06,C04969,P0175,S014,5,0.15,Online,7529.2,1129.38,6399.82,5075.35,1324.47
O0000122,2025-01-04,C01822,P0107,S009,4,0.15,Cash,6945.96,1041.894,5904.07,6039.92,-135.85
O0000123,2025-01-19,C05849,P0114,S002,3,0.0,Cash,1276.5,191.475,1085.03,809.34,275.69
O0000124,2026-06-20,C00088,P0102,S011,1,0.05,Card,1851.88,92.594,1759.29,1615.69,143.6
O0000125,2025-10-16,C04421,P0123,S010,2,0.05,Card,2875.9,143.79500000000002,2732.1,2261.12,470.98
O0000126,2026-04-13,C05772,P0014,S001,5,0.1,Card,5820.0,582.0,5238.0,4266.3,971.7
O0000127,2025-02-09,C03196,P0014,S007,5,0.2,Card,5820.0,1164.0,4656.0,4266.3,389.7
O0000128,2025-09-25,C05060,P0080,S002,1,0.15,Card,1756.15,263.4225,1492.73,1178.13,314.6
O0000129,2025-11-11,C00369,P0111,S006,3,0.05,Card,3843.06,192.153,3650.91,3339.57,311.34
O0000130,2026-05-18,C04295,P0121,S007,4,0.2,Card,5865.28,1173.056,4692.22,4090.92,601.3
O0000131,2026-01-23,C00292,P0111,S002,4,0.0,Online,5124.08,0.0,5124.08,4452.76,671.32
O0000132,2025-12-09,C04541,P0156,S014,2,0.1,Card,4520.76,452.076,4068.68,2891.38,1177.3
O0000133,2025-06-10,C01029,P0065,S011,3,0.15,Card,1140.12,171.018,969.1,918.9,50.2
O0000134,2026-06-27,C04990,P0171,S011,5,0.05,Cash,6067.65,303.3825,5764.27,4890.65,873.62
O0000135,2025-06-28,C03183,P0121,S006,5,0.0,Card,7331.599999999999,0.0,7331.6,5113.65,2217.95
O0000136,2025-06-01,C01327,P0003,S009,3,0.1,Online,560.58,56.05800000000001,504.52,372.69,131.83
O0000137,2026-01-31,C04900,P0007,S014,1,0.0,Card,888.12,0.0,888.12,673.12,215.0
O0000138,2026-06-29,C02806,P0016,S004,1,0.0,Cash,960.58,0.0,960.58,791.72,168.86
O0000139,2026-04-13,C05547,P0150,S003,5,0.1,Card,10767.8,1076.78,9691.02,7048.95,2642.07
O0000140,2025-04-09,C02629,P0012,S009,2,0.1,Card,3445.26,344.52600000000007,3100.73,2400.16,700.57
O0000141,2026-03-22,C02629,P0059,S014,3,0.0,Online,5257.89,0.0,5257.89,4308.9,948.99
O0000142,2025-07-12,C00261,P0129,S009,1,0.0,Card,805.12,0.0,805.12,676.35,128.77
O0000143,2025-05-02,C01310,P0066,S012,5,0.0,Card,276.4,0.0,276.4,239.25,37.15
O0000144,2026-05-26,C03681,P0112,S013,4,0.05,Card,1494.6,74.73,1419.87,1279.6,140.27
O0000145,2026-06-03,C01595,P0119,S012,2,0.0,Card,1099.14,0.0,1099.14,799.12,300.02
O0000146,2025-07-22,C00780,P0150,S009,5,0.0,Online,10767.8,0.0,10767.8,7048.95,3718.85
O0000147,2025-01-15,C01367,P0062,S003,5,0.0,Card,2771.2,0.0,2771.2,2268.15,503.05
O0000148,2025-04-25,C03428,P0056,S004,5,0.05,Cash,1182.9,59.14500000000001,1123.76,997.8,125.96
O0000149,2025-10-23,C02216,P0087,S001,3,0.05,Online,4090.38,204.519,3885.86,3103.95,781.91
O0000150,2025-02-02,C04493,P0049,S008,5,0.1,Card,11666.8,1166.68,10500.12,8747.85,1752.27
O0000151,2025-05-05,C05542,P0176,S001,3,0.05,Cash,4164.15,208.2075,3955.94,2587.5,1368.44
O0000152,2025-03-23,C00607,P0047,S001,1,0.15,Card,1782.65,267.3975,1515.25,1497.69,17.56
O0000153,2026-06-04,C00446,P0063,S011,5,0.0,Card,1150.2,0.0,1150.2,992.25,157.95
O0000154,2025-07-13,C01043,P0139,S011,2,0.0,Online,1350.64,0.0,1350.64,892.32,458.32
O0000155,2025-07-27,C00116,P0077,S011,2,0.0,Online,1702.1,0.0,1702.1,1335.7,366.4
O0000156,2025-08-18,C05225,P0162,S002,3,0.2,Card,1984.32,396.864,1587.46,1306.23,281.23
O0000157,2025-01-08,C04480,P0025,S014,4,0.1,Bank Transfer,6778.24,677.8240000000001,6100.42,5172.92,927.5
O0000158,2025-10-24,C04358,P0075,S002,2,0.0,Online,2150.1,0.0,2150.1,1676.82,473.28
O0000159,2026-05-14,C05501,P0172,S002,4,0.05,Card,3681.28,184.064,3497.22,2369.44,1127.78
O0000160,2026-03-21,C04700,P0036,S004,5,0.0,Bank Transfer,366.0,0.0,366.0,243.45,122.55
O0000161,2025-05-17,C04965,P0126,S010,4,0.1,Online,1009.6,100.96,908.64,869.52,39.12
O0000162,2025-01-08,C00931,P0008,S001,4,0.0,Cash,4197.36,0.0,4197.36,3446.04,751.32
O0000163,2026-02-27,C05211,P0080,S006,4,0.05,Card,7024.6,351.23,6673.37,4712.52,1960.85
O0000164,2026-04-05,C04112,P0017,S013,1,0.1,Card,495.76,49.576,446.18,428.75,17.43
O0000165,2026-05-19,C00864,P0100,S005,3,0.0,Card,5893.59,0.0,5893.59,4751.31,1142.28
O0000166,2025-11-12,C00826,P0100,S013,5,0.0,Bank Transfer,9822.65,0.0,9822.65,7918.85,1903.8
O0000167,2025-09-16,C04484,P0131,S007,1,0.15,Card,808.06,121.209,686.85,566.62,120.23
O0000168,2026-02-18,C02501,P0149,S004,1,0.15,Card,2128.18,319.227,1808.95,1372.96,435.99
O0000169,2026-01-12,C01883,P0067,S008,4,0.05,Card,6077.56,303.87800000000004,5773.68,4272.6,1501.08
O0000170,2026-02-18,C00249,P0028,S013,2,0.05,Card,3381.3,169.06500000000003,3212.24,2595.68,616.56
O0000171,2025-06-05,C02468,P0166,S010,5,0.2,Cash,4382.95,876.59,3506.36,3701.1,-194.74
O0000172,2026-05-09,C01965,P0024,S008,2,0.15,Card,3113.88,467.082,2646.8,2524.96,121.84
O0000173,2025-01-21,C01791,P0018,S009,2,0.15,Online,3250.48,487.572,2762.91,2389.66,373.25
O0000174,2025-02-20,C05807,P0156,S009,5,0.05,Cash,11301.9,565.0950000000001,10736.81,7228.45,3508.36
O0000175,2025-12-24,C01180,P0145,S011,4,0.1,Card,5464.72,546.4720000000001,4918.25,4556.76,361.49
O0000176,2025-11-09,C04175,P0179,S004,2,0.05,Cash,1803.24,90.162,1713.08,1570.04,143.04
O0000177,2025-10-30,C03904,P0051,S003,5,0.0,Bank Transfer,6549.95,0.0,6549.95,4581.65,1968.3
O0000178,2026-05-12,C00225,P0080,S011,5,0.05,Card,8780.75,439.0375,8341.71,5890.65,2451.06
O0000179,2026-04-21,C00022,P0002,S011,1,0.0,Card,1938.95,0.0,1938.95,1482.74,456.21
O0000180,2026-01-28,C04604,P0163,S010,3,0.05,Card,2250.93,112.5465,2138.38,1635.33,503.05
O0000181,2025-03-31,C03082,P0142,S003,1,0.2,Card,2104.62,420.924,1683.7,1385.84,297.86
O0000182,2025-02-22,C02334,P0004,S014,2,0.05,Card,2054.12,102.706,1951.41,1289.2,662.21
O0000183,2025-03-18,C02793,P0017,S014,1,0.15,Card,495.76,74.36399999999999,421.4,428.75,-7.35
O0000184,2025-12-02,C01747,P0095,S003,5,0.05,Card,12807.3,640.365,12166.94,8880.35,3286.59
O0000185,2026-01-25,C05581,P0073,S007,4,0.0,Card,8537.16,0.0,8537.16,5782.52,2754.64
O0000186,2026-03-13,C01151,P0141,S013,3,0.0,Card,3696.03,0.0,3696.03,2927.25,768.78
O0000187,2025-02-26,C01179,P0164,S013,4,0.05,Card,7684.76,384.23800000000006,7300.52,6387.76,912.76
O0000188,2025-05-31,C02527,P0063,S008,5,0.05,Card,1150.2,57.510000000000005,1092.69,992.25,100.44
O0000189,2025-07-04,C00926,P0139,S006,3,0.0,Card,2025.96,0.0,2025.96,1338.48,687.48
O0000190,2025-12-12,C01553,P0115,S004,2,0.0,Card,3550.62,0.0,3550.62,2525.2,1025.42
O0000191,2025-01-26,C03955,P0087,S008,5,0.0,Card,6817.3,0.0,6817.3,5173.25,1644.05
O0000192,2026-04-04,C05516,P0059,S009,1,0.0,Card,1752.63,0.0,1752.63,1436.3,316.33
O0000193,2025-02-14,C00286,P0065,S003,2,0.1,Card,760.08,76.00800000000001,684.07,612.6,71.47
O0000194,2025-10-14,C04207,P0130,S012,5,0.15,Card,5256.849999999999,788.5274999999999,4468.32,3316.05,1152.27
O0000195,2026-05-25,C01218,P0044,S009,5,0.2,Online,10799.05,2159.81,8639.24,8046.35,592.89
O0000196,2025-04-17,C05476,P0100,S010,3,0.1,Card,5893.59,589.359,5304.23,4751.31,552.92
O0000197,2026-01-11,C04495,P0009,S006,5,0.15,Card,10749.55,1612.4325,9137.12,7502.45,1634.67
O0000198,2025-10-28,C00211,P0175,S010,2,0.0,Cash,3011.68,0.0,3011.68,2030.14,981.54
O0000199,2026-03-24,C04134,P0070,S009,2,0.0,Bank Transfer,1741.5,0.0,1741.5,1510.22,231.28
O0000200,2025-11-18,C00256,P0012,S008,1,0.15,Card,1722.63,258.3945,1464.24,1200.08,264.16
O0000201,2026-04-09,C02340,P0088,S014,2,0.0,Card,3831.32,0.0,3831.32,2881.3,950.02
O0000202,2025-08-08,C03768,P0122,S003,1,0.05,Online,853.02,42.651,810.37,576.02,234.35
O0000203,2025-03-31,C05156,P0041,S002,2,0.0,Bank Transfer,4265.96,0.0,4265.96,3431.38,834.58
O0000204,2026-01-07,C03694,P0103,S014,2,0.0,Online,3380.72,0.0,3380.72,2800.82,579.9
O0000205,2026-06-13,C04999,P0056,S005,4,0.1,Card,946.32,94.632,851.69,798.24,53.45
O0000206,2025-08-25,C04310,P0078,S005,4,0.05,Card,6165.72,308.28600000000006,5857.43,4949.92,907.51
O0000207,2026-03-24,C00683,P0109,S013,1,0.0,Cash,417.75,0.0,417.75,287.83,129.92
O0000208,2026-04-25,C03398,P0064,S013,4,0.2,Card,7437.12,1487.424,5949.7,5944.6,5.1
O0000209,2025-12-19,C00752,P0081,S004,4,0.2,Cash,3052.84,610.5680000000001,2442.27,2103.2,339.07
O0000210,2026-03-09,C00212,P0022,S005,4,0.0,Online,3453.2,517.9799999999999,2935.22,2768.12,167.1
O0000211,2025-11-04,C05349,P0174,S006,5,0.1,Card,3497.3,349.73,3147.57,2936.3,211.27
O0000212,2026-03-16,C04130,P0078,S001,3,0.05,Card,4624.29,231.2145,4393.08,3712.44,680.64
O0000213,2025-07-03,C00167,P0018,S002,4,0.0,Online,6500.96,0.0,6500.96,4779.32,1721.64
O0000214,2025-10-15,C04977,P0171,S010,4,0.0,Card,4854.12,0.0,4854.12,3912.52,941.6
O0000215,2025-02-12,C05034,P0096,S002,2,0.05,Cash,4290.44,214.522,4075.92,3064.92,1011.0
O0000216,2025-04-18,C04211,P0004,S013,5,0.15,Card,5135.299999999999,770.2949999999998,4365.0,3223.0,1142.0
O0000217,2025-11-13,C02637,P0086,S006,1,0.0,Cash,250.27,0.0,250.27,180.14,70.13
O0000218,2026-01-31,C04925,P0027,S003,1,0.0,Online,1255.1,0.0,1255.1,1046.8,208.3
O0000219,2025-01-17,C05958,P0143,S002,1,0.0,Card,1610.11,0.0,1610.11,1060.95,549.16
O0000220,2025-02-07,C02661,P0091,S004,2,0.0,Online,4746.9,0.0,4746.9,3236.16,1510.74
O0000221,2025-01-04,C01674,P0166,S002,2,0.05,Card,1753.18,87.659,1665.52,1480.44,185.08
O0000222,2025-10-10,C00625,P0069,S008,3,0.0,Card,1227.51,0.0,1227.51,1004.64,222.87
O0000223,2025-07-03,C01507,P0061,S005,1,0.0,Card,1087.03,0.0,1087.03,772.33,314.7
O0000224,2025-01-29,C05386,P0072,S010,5,0.1,Online,1418.35,141.835,1276.52,937.05,339.47
O0000225,2026-03-10,C03938,P0146,S003,5,0.1,Card,426.0,42.6,383.4,272.15,111.25
O0000226,2025-10-16,C04587,P0005,S011,1,0.05,Card,472.42,23.621,448.8,358.4,90.4
O0000227,2025-01-06,C00790,P0158,S012,3,0.05,Cash,5686.5,284.325,5402.18,3860.19,1541.99
O0000228,2026-01-10,C03224,P0060,S010,3,0.1,Card,6484.799999999999,648.48,5836.32,4689.75,1146.57
O0000229,2026-05-13,C01783,P0100,S011,4,0.05,Online,7858.12,392.906,7465.21,6335.08,1130.13
O0000230,2025-08-17,C00850,P0102,S013,2,0.15,Card,3703.76,555.564,3148.2,3231.38,-83.18
O0000231,2026-06-03,C04146,P0140,S005,4,0.0,Online,7098.48,0.0,7098.48,4838.64,2259.84
O0000232,2025-08-16,C01021,P0052,S002,4,0.0,Card,8353.84,0.0,8353.84,5797.52,2556.32
O0000233,2025-02-12,C05398,P0018,S007,3,0.0,Card,4875.72,0.0,4875.72,3584.49,1291.23
O0000234,2025-03-09,C01160,P0100,S005,4,0.15,Card,7858.12,1178.7179999999998,6679.4,6335.08,344.32
O0000235,2025-02-06,C03732,P0158,S006,3,0.0,Online,5686.5,0.0,5686.5,3860.19,1826.31
O0000236,2025-06-14,C00924,P0046,S014,3,0.15,Card,2261.67,339.2505,1922.42,1439.4,483.02
O0000237,2025-07-30,C01504,P0173,S003,2,0.1,Card,3006.4,300.64000000000004,2705.76,2134.86,570.9
O0000238,2025-08-31,C04923,P0054,S010,4,0.0,Cash,5000.0,0.0,5000.0,3538.28,1461.72
O0000239,2025-09-20,C05240,P0150,S002,4,0.15,Cash,8614.24,1292.136,7322.1,5639.16,1682.94
O0000240,2026-04-17,C02676,P0005,S014,4,0.15,Bank Transfer,1889.68,283.452,1606.23,1433.6,172.63
O0000241,2025-01-07,C01257,P0022,S005,2,0.1,Card,1726.6,172.66,1553.94,1384.06,169.88
O0000242,2026-05-06,C01747,P0156,S001,3,0.0,Cash,6781.14,0.0,6781.14,4337.07,2444.07
O0000243,2025-05-11,C03451,P0001,S001,2,0.1,Card,2083.2,208.32,1874.88,1632.38,242.5
O0000244,2026-06-05,C02015,P0065,S006,4,0.1,Card,1520.16,152.01600000000002,1368.14,1225.2,142.94
O0000245,2025-03-15,C04872,P0063,S003,5,0.05,Cash,1150.2,57.510000000000005,1092.69,992.25,100.44
O0000246,2025-02-24,C01610,P0089,S010,5,0.1,Online,1320.2,132.02,1188.18,1121.6,66.58
O0000247,2025-03-08,C02010,P0051,S012,4,0.0,Bank Transfer,5239.96,0.0,5239.96,3665.32,1574.64
