customer_id,customer_name,gender,age,city,customer_type,registration_date
C00046,Customer 00046,Male,55,Makkah,Returning,2025-02-03
C00047,Customer 00047,Female,61,Abha,Loyal,2026-02-14
C00048,Customer 00048,Female,22,Makkah,New,2025-01-22
C00049,Customer 00049,Male,19,Makkah,Loyal,2026-06-08
C00050,Customer 00050,Male,52,Abha,Loyal,2025-07-19
C00051,Customer 00051,Female,33,Madinah,Returning,2025-05-29
C00052,Customer 00052,Female,37,Dammam,Returning,2025-06-02
C00053,Customer 00053,Male,40,Makkah,New,2024-10-31
C00054,Customer 00054,Male,36,Dammam,New,2024-10-26
C00055,Customer 00055,Female,50,Dammam,Returning,2024-01-22
C00056,Customer 00056,Female,29,Abha,New,2025-03-01
C00057,Customer 00057,Male,60,Madinah,New,2025-03-06
C00058,Customer 00058,Male,26,Khobar,Returning,2024-02-21
C00059,Customer 00059,Male,30,Makkah,New,2024-01-08
C00060,Customer 00060,Male,64,Jeddah,Returning,2025-08-29
C00061,Customer 00061,Male,23,Khobar,New,2024-05-01
C00062,Customer 00062,Female,54,Dammam,Loyal,2025-11-26
C00063,Customer 00063,Female,65,Jeddah,Loyal,2024-11-15
C00064,Customer 00064,Male,21,Madinah,New,2026-04-27
C00065,Customer 00065,Female,44,Riyadh,New,2026-01-04
C00066,Customer 00066,Male,47,Abha,Returning,2025-04-13
C00067,Customer 00067,Female,30,Jeddah,New,2024-04-06
C00068,Customer 00068,Male,46,Dammam,Returning,2025-10-27
C00069,Customer 00069,Female,35,Abha,Returning,2024-04-09
C00070,Customer 00070,Female,55,Jeddah,New,2025-06-27
C00071,Customer 00071,Male,23,Dammam,Loyal,2025-10-16
C00072,Customer 00072,Male,30,Dammam,Loyal,2025-07-09
C00073,Customer 00073,Male,37,Madinah,Returning,2024-06-15
C00074,Customer 00074,Female,52,Khobar,Loyal,2025-05-31
C00075,Customer 00075,Male,34,Abha,Returning,2025-10-09
C00076,Customer 00076,Female,29,Dammam,New,2024-02-02
C00077,Customer 00077,Female,60,Jeddah,Loyal,2024-10-22
C00078,Customer 00078,Female,41,Riyadh,Returning,2024-12-19
C00079,Customer 00079,Male,38,Abha,New,2024-11-19
C00080,Customer 00080,Female,63,Riyadh,Returning,2026-01-20
C00081,Customer 00081,Male,25,Dammam,Returning,2026-05-13
C00082,Customer 00082,Male,30,Riyadh,New,2024-12-08
C00083,Customer 00083,Female,62,Riyadh,Returning,2026-04-03
C00084,Customer 00084,Female,40,Jeddah,Returning,2025-04-20
C00085,Customer 00085,Female,26,Madinah,Loyal,2024-05-08
C00086,Customer 00086,Male,53,Abha,Returning,2026-01-25
C00087,Customer 00087,Male,62,Abha,Returning,2025-05-18
C00088,Customer 00088,Female,34,Khobar,Loyal,2025-08-14
C00089,Customer 00089,Male,54,Jeddah,Loyal,2026-01-14
C00090,Customer 00090,Female,62,Riyadh,Returning,2024-09-15
C00091,Customer 00091,Male,18,Abha,Loyal,2024-09-09
C00092,Customer 00092,Male,20,Jeddah,Returning,2025-12-19
C00093,Customer 00093,Male,25,Makkah,Returning,2025-03-23
C00094,Customer 00094,Female,62,Riyadh,Returning,2025-01-07
C00095,Customer 00095,Female,40,Abha,Returning,2025-08-15
C00096,Customer 00096,Male,40,Jeddah,Loyal,2025-04-18
C00097,Customer 00097,Female,26,Makkah,Returning,2026-06-06
C00098,Customer 00098,Female,19,Madinah,Returning,2024-09-17
C00099,Customer 00099,Female,53,Abha,Loyal,2025-02-11
C00100,Customer 00100,Female,49,Abha,Returning,2024-11-21
C00101,Customer 00101,Male,35,Abha,Returning,2024-12-20
C00102,Customer 00102,Female,44,Khobar,Returning,2025-06-14
C00103,Customer 00103,Female,61,Abha,Returning,2024-06-19
C00104,Customer 00104,Male,34,Dammam,Returning,2025-02-21
C00105,Customer 00105,Female,24,Riyadh,New,2024-10-19
C00106,Customer 00106,Male,49,Jeddah,Returning,2024-10-01
C00107,Customer 00107,Female,33,Khobar,New,2024-05-26
C00108,Customer 00108,Female,59,Khobar,New,2026-04-01
C00109,Customer 00109,Male,24,Riyadh,New,2025-11-20
C00110,Customer 00110,Female,31,Riyadh,Returning,2026-04-02
C00111,Customer 00111,Female,27,Abha,Returning,2025-05-06
C00112,Customer 00112,Male,63,Abha,Returning,2025-11-01
C00113,Customer 00113,Female,48,Dammam,Returning,2025-10-08
C00114,Customer 00114,Male,37,Makkah,Returning,2025-05-05
C00115,Customer 00115,Female,37,Makkah,Loyal,2026-05-16
C00116,Customer 00116,Female,39,Dammam,Loyal,2026-02-01
C00117,Customer 00117,Male,33,Dammam,Returning,2025-09-26
C00118,Customer 00118,Male,48,Makkah,Returning,2025-12-29
C00119,Customer 00119,Female,61,Dammam,Loyal,2024-10-11
C00120,Customer 00120,Female,64,Khobar,Returning,2026-06-16
C00121,Customer 00121,Male,54,Riyadh,Returning,2025-07-17
C00122,Customer 00122,Male,29,Madinah,Returning,2025-07-24
C00123,Customer 00123,Male,30,Dammam,Returning,2024-11-22
C00124,Customer 00124,Female,28,Dammam,Loyal,2024-09-18
C00125,Customer 00125,Male,26,Makkah,New,2024-02-05
C00126,Customer 00126,Male,56,Makkah,Loyal,2024-07-30
C00127,Customer 00127,Male,55,Riyadh,New,2024-04-13
C00128,Customer 00128,Male,65,Makkah,New,2026-05-01
C00129,Customer 00129,Female,38,Jeddah,Returning,2026-02-28
C00130,Customer 00130,Male,65,Dammam,New,2026-04-24
C00131,Customer 00131,Female,55,Madinah,New,2025-03-04
C00132,Customer 00132,Female,49,Riyadh,New,2025-10-01
C00133,Customer 00133,Female,26,Madinah,Returning,2025-03-31
C00134,Customer 00134,Female,42,Riyadh,Returning,2025-12-17
C00135,Customer 00135,Female,65,Jeddah,Loyal,2024-01-29
C00136,Customer 00136,Female,22,Jeddah,Returning,2024-04-16
C00137,Customer 00137,Male,33,Dammam,Returning,2024-06-09
C00138,Customer 00138,Male,20,Riyadh,Returning,2025-11-17
C00139,Customer 00139,Female,55,Dammam,Loyal,2026-03-26
C00140,Customer 00140,Female,37,Khobar,Returning,2024-07-30
C00141,Customer 00141,Female,56,Abha,Returning,2024-07-18
C00142,Customer 00142,Male,24,Riyadh,Loyal,2026-04-04
C00143,Customer 00143,Male,25,Dammam,Returning,2024-09-09
C00144,Customer 00144,Male,20,Makkah,New,2024-03-19
C00145,Customer 00145,Female,55,Abha,New,2024-10-31
C00146,Customer 00146,Male,57,Abha,New,2024-01-24
C00147,Customer 00147,Female,59,Jeddah,Loyal,2025-05-12
C00148,Customer 00148,Male,57,Makkah,New,2025-01-16
C00149,Customer 00149,Female,53,Makkah,New,2024-10-21
C00150,Customer 00150,Male,42,Riyadh,Loyal,2025-10-04
C00151,Customer 00151,Male,35,Dammam,New,2025-07-16
C00152,Customer 00152,Male,54,Madinah,New,2025-11-14
C00153,Customer 00153,Female,26,Jeddah,New,2024-02-09
C00154,Customer 00154,Male,37,Jeddah,Loyal,2026-02-07
C00155,Customer 00155,Male,49,Khobar,Returning,2026-04-06
C00156,Customer 00156,Female,60,Riyadh,Loyal,2026-05-10
C00157,Customer 00157,Female,27,Makkah,New,2025-03-01
C00158,Customer 00158,Female,31,Khobar,Returning,2024-01-06
C00159,Customer 00159,Female,44,Abha,Loyal,2024-11-29
C00160,Customer 00160,Female,19,Makkah,New,2026-04-17
C00161,Customer 00161,Male,41,Dammam,New,2024-09-16
C00162,Customer 00162,Female,54,Riyadh,Loyal,2024-11-09
C00163,Customer 00163,Female,36,Riyadh,New,2024-04-29
C00164,Customer 00164,Female,33,Riyadh,Returning,2025-07-29
C00165,Customer 00165,Male,21,Abha,New,2024-01-09
C00166,Customer 00166,Male,60,Madinah,Returning,2025-12-01
C00167,Customer 00167,Male,60,Abha,Returning,2026-01-17
C00168,Customer 00168,Male,62,Abha,New,2024-11-02
C00169,Customer 00169,Female,46,Makkah,New,2024-09-28
C00170,Customer 00170,Male,28,Jeddah,New,2025-01-08
C00171,Customer 00171,Male,38,Jeddah,New,2024-03-11
C00172,Customer 00172,Male,59,Madinah,Returning,2024-11-05
C00173,Customer 00173,Male,20,Riyadh,Returning,2024-11-04
C00174,Customer 00174,Female,47,Khobar,New,2025-12-22
C00175,Customer 00175,Male,62,Jeddah,New,2025-11-08
C00176,Customer 00176,Male,23,Jeddah,Returning,2025-01-01
C00177,Customer 00177,Female,58,Riyadh,Loyal,2024-04-03
C00178,Customer 00178,Male,43,Madinah,Loyal,2025-02-02
C00179,Customer 00179,Female,37,Riyadh,Returning,2025-02-25
C00180,Customer 00180,Male,45,Jeddah,Loyal,2026-04-12
C00181,Customer 00181,Male,64,Abha,Returning,2025-04-22
C00182,Customer 00182,Male,64,Dammam,Returning,2025-12-25
C00183,Customer 00183,Male,46,Abha,New,2025-08-12
C00184,Customer 00184,Female,27,Riyadh,New,2025-12-19
C00185,Customer 00185,Male,46,Jeddah,Returning,2025-08-23
C00186,Customer 00186,Female,38,Makkah,Returning,2024-12-07
C00187,Customer 00187,Male,62,Abha,Returning,2025-11-26
C00188,Customer 00188,Male,39,Riyadh,Returning,2024-12-11
C00189,Customer 00189,Male,49,Dammam,Returning,2024-11-28
C00190,Customer 00190,Male,34,Khobar,Returning,2025-04-23
C00191,Customer 00191,Male,25,Dammam,Returning,2026-05-21
C00192,Customer 00192,Female,28,Khobar,Returning,2025-11-13
C00193,Customer 00193,Female,30,Makkah,Loyal,2026-05-23
C00194,Customer 00194,Male,46,Riyadh,Returning,2026-06-12
C00195,Customer 00195,Female,63,Madinah,Returning,2024-04-03
C00196,Customer 00196,Male,45,Khobar,New,2025-07-08
C00197,Customer 00197,Male,50,Khobar,Returning,2024-03-15
C00198,Customer 00198,Male,53,Dammam,Loyal,2024-08-03
C00199,Customer 00199,Female,40,Riyadh,New,2025-05-26
C00200,Customer 00200,Male,33,Khobar,Loyal,2026-06-08
C00201,Customer 00201,Male,45,Abha,New,2025-08-27
C00202,Customer 00202,Female,55,Makkah,Returning,2024-07-12
C00203,Customer 00203,Female,64,Riyadh,Loyal,2025-12-13
C00204,Customer 00204,Female,27,Abha,Returning,2026-05-15
C00205,Customer 00205,Female,35,Madinah,New,2024-12-16
C00206,Customer 00206,Female,41,Makkah,Returning,2025-07-28
C00207,Customer 00207,Male,47,Abha,Returning,2026-04-21
C00208,Customer 00208,Female,38,Jeddah,New,2026-03-04
C00209,Customer 00209,Male,58,Riyadh,Returning,2025-09-27
C00210,Customer 00210,Female,59,Abha,New,2026-04-26
C00211,Customer 00211,Male,40,Makkah,Returning,2025-06-05
C00212,Customer 00212,Female,50,Madinah,Returning,2025-12-12
C00213,Customer 00213,Female,19,Jeddah,Returning,2026-05-14
C00214,Customer 00214,Male,28,Khobar,New,2025-05-31
C00215,Customer 00215,Female,34,Makkah,New,2025-04-05
C00216,Customer 00216,Female,37,Riyadh,Loyal,2025-01-08
C00217,Customer 00217,Female,21,Riyadh,Returning,2026-06-10
C00218,Customer 00218,Male,48,Khobar,Returning,2024-04-30
C00219,Customer 00219,Female,19,Dammam,Returning,2024-11-28
C00220,Customer 00220,Female,64,Makkah,New,2024-07-02
C00221,Customer 00221,Male,32,Makkah,Loyal,2024-12-15
C00222,Customer 00222,Male,62,Dammam,Loyal,2026-03-31
C00223,Customer 00223,Male,20,Riyadh,Loyal,2026-04-23
C00224,Customer 00224,Female,43,Abha,Loyal,2026-02-23
C00225,Customer 00225,Male,37,Madinah,Returning,2026-06-09
C00226,Customer 00226,Male,64,Riyadh,Returning,2025-12-13
C00227,Customer 00227,Male,31,Makkah,Loyal,2024-06-28
C00228,Customer 00228,Female,59,Madinah,Returning,2025-05-01
C00229,Customer 00229,Female,64,Jeddah,Loyal,2024-11-21
C00230,Customer 00230,Female,24,Madinah,Loyal,2024-09-27
C00231,Customer 00231,Female,44,Dammam,Loyal,2024-07-12
C00232,Customer 00232,Male,51,Makkah,Returning,2025-02-14
C00233,Customer 00233,Male,36,Khobar,Returning,2024-06-24
C00234,Customer 00234,Female,22,Jeddah,New,2025-05-26
C00235,Customer 00235,Female,39,Abha,Loyal,2026-01-21
C00236,Customer 00236,Male,19,Jeddah,New,2026-02-13
C00237,Customer 00237,Female,64,Riyadh,New,2024-12-11
C00238,Customer 00238,Male,62,Madinah,Loyal,2024-02-06
C00239,Customer 00239,Male,20,Makkah,New,2026-04-19
C00240,Customer 00240,Female,27,Riyadh,Returning,2024-11-23
C00241,Customer 00241,Male,43,Riyadh,Returning,2025-12-17
C00242,Customer 00242,Female,56,Makkah,Returning,2025-08-09
C00243,Customer 00243,Male,63,Madinah,Returning,2024-04-10
C00244,Customer 00244,Female,28,Makkah,Returning,2025-07-12
C00245,Customer 00245,Female,36,Abha,Loyal,2024-04-21
C00246,Customer 00246,Female,26,Dammam,Returning,2024-06-16
C00247,Customer 00247,Male,50,Riyadh,Returning,2025-12-28
C00248,Customer 00248,Female,52,Abha,New,2025-10-05
C00249,Customer 00249,Male,27,Abha,New,2025-06-13
C00250,Customer 00250,Male,42,Makkah,Returning,2026-04-23
C00251,Customer 00251,Male,65,Riyadh,Returning,2025-04-06
C00252,Customer 00252,Female,38,Khobar,New,2025-10-22
C00253,Customer 00253,Male,28,Riyadh,Returning,2025-07-04
C00254,Customer 00254,Female,65,Madinah,Returning,2025-03-20
C00255,Customer 00255,Female,40,Riyadh,New,2025-12-21
C00256,Customer 00256,Male,49,Abha,Loyal,2026-03-24
C00257,Customer 00257,Female,48,Makkah,Loyal,2025-11-24
C00258,Customer 00258,Female,34,Dammam,Returning,2025-12-01
C00259,Customer 00259,Male,64,Khobar,Returning,2025-06-23
C00260,Customer 00260,Female,56,Madinah,Returning,2024-02-11
C00261,Customer 00261,Female,40,Makkah,New,2025-06-22
C00262,Customer 00262,Female,24,Dammam,New,2024-12-02
C00263,Customer 00263,Male,53,Jeddah,Loyal,2025-10-21
C00264,Customer 00264,Male,23,Makkah,Loyal,2025-12-23
C00265,Customer 00265,Female,27,Jeddah,Returning,2024-10-22
C00266,Customer 00266,Female,60,Riyadh,Loyal,2024-06-01
C00267,Customer 00267,Male,26,Abha,Returning,2025-12-09
C00268,Customer 00268,Male,25,Abha,New,2024-08-11
C00269,Customer 00269,Female,24,Dammam,Returning,2026-01-16
C00270,Customer 00270,Female,21,Riyadh,Returning,2024-08-04
C00271,Customer 00271,Male,53,Madinah,Loyal,2024-07-04
C00272,Customer 00272,Male,57,Makkah,New,2024-11-01
C00273,Customer 00273,Male,26,Riyadh,Returning,2024-11-05
C00274,Customer 00274,Male,29,Abha,Loyal,2024-06-06
C00275,Customer 00275,Male,31,Riyadh,New,2024-01-13
C00276,Customer 00276,Male,32,Madinah,Returning,2026-03-21
C00277,Customer 00277,Male,54,Makkah,Loyal,2024-11-24
C00278,Customer 00278,Female,48,Madinah,Loyal,2025-07-15
C00279,Customer 00279,Female,47,Makkah,Loyal,2026-01-19
C00280,Customer 00280,Male,55,Makkah,Returning,2025-11-15
C00281,Customer 00281,Male,18,Madinah,Returning,2025-02-25
C00282,Customer 00282,Female,37,Makkah,Returning,2025-11-18
C00283,Customer 00283,Male,58,Madinah,New,2025-10-03
C00284,Customer 00284,Female,56,Riyadh,Loyal,2025-11-24
C00285,Customer 00285,Male,59,Madinah,Loyal,2024-05-24
C00286,Customer 00286,Female,37,Jeddah,New,2026-01-09
C00287,Customer 00287,Female,63,Madinah,Returning,2026-06-14
C00288,Customer 00288,Male,32,Madinah,New,2024-07-20
C00289,Customer 00289,Male,20,Abha,Loyal,2025-11-19
C00290,Customer 00290,Male,58,Jeddah,Returning,2025-08-26
C00291,Customer 00291,Male,26,Abha,Loyal,2026-05-31
C00292,Customer 00292,Female,61,Khobar,New,2024-09-26
C00293,Customer 00293,Male,57,Khobar,New,2026-05-14
C00294,Customer 00294,Male,64,Dammam,New,2024-01-05
C00295,Customer 00295,Female,38,Khobar,New,2025-11-29
C00296,Customer 00296,Female,55,Madinah,Returning,2025-10-26
C00297,Customer 00297,Female,28,Abha,New,2025-05-29
C00298,Customer 00298,Male,65,Dammam,New,2024-07-06
C00299,Customer 00299,Male,42,Khobar,Loyal,2025-11-21
C00300,Customer 00300,Male,36,Jeddah,Returning,2024-05-20
C00301,Customer 00301,Male,27,Riyadh,New,2025-05-22
C00302,Customer 00302,Female,41,Makkah,Loyal,2025-04-18
C00303,Customer 00303,Male,51,Abha,Loyal,2024-05-28
C00304,Customer 00304,Male,37,Madinah,Loyal,2024-03-05
C00305,Customer 00305,Male,53,Khobar,Loyal,2026-05-22
C00306,Customer 00306,Male,40,Dammam,New,2024-06-05
C00307,Customer 00307,Female,40,Dammam,Returning,2024-06-22
C00308,Customer 00308,Male,61,Riyadh,Loyal,2025-07-26
C00309,Customer 00309,Male,31,Madinah,New,2024-09-05
C00310,Customer 00310,Male,63,Jeddah,Returning,2026-04-16
C00311,Customer 00311,Male,58,Jeddah,Returning,2024-08-18
C00312,Customer 00312,Female,25,Jeddah,Returning,2025-01-25
C00313,Customer 00313,Female,28,Riyadh,Loyal,2025-07-06
C00314,Customer 00314,Male,58,Riyadh,New,2025-04-15
C00315,Customer 00315,Female,59,Khobar,Returning,2024-03-30
C00316,Customer 00316,Female,54,Makkah,New,2024-04-19
C00317,Customer 00317,Male,63,Riyadh,Returning,2026-05-27
C00318,Customer 00318,Female,60,Jeddah,Returning,2026-06-05
C00319,Customer 00319,Male,57,Jeddah,Returning,2025-07-12
C00320,Customer 00320,Female,23,Dammam,New,2024-10-04
C00321,Customer 00321,Male,42,Madinah,Returning,2026-02-10
C00322,Customer 00322,Male,55,Abha,Loyal,2025-12-19
C00323,Customer 00323,Female,53,Abha,Returning,2024-08-15
C00324,Customer 00324,Female,27,Abha,Loyal,2025-02-12
C00325,Customer 00325,Female,52,Jeddah,Loyal,2024-05-21
C00326,Customer 00326,Male,34,Dammam,Returning,2025-08-16
C00327,Customer 00327,Male,65,Jeddah,New,2025-06-21
C00328,Customer 00328,Female,60,Madinah,Returning,2025-04-09
C00329,Customer 00329,Female,36,Madinah,Loyal,2025-03-08
C00330,Customer 00330,Male,32,Abha,Loyal,2024-07-05
C00331,Customer 00331,Female,47,Riyadh,Returning,2026-04-21
C00332,Customer 00332,Female,19,Dammam,New,2026-04-06
C00333,Customer 00333,Male,45,Dammam,Returning,2025-03-02
C00334,Customer 00334,Male,34,Makkah,Loyal,2025-11-06
C00335,Customer 00335,Male,37,Abha,Loyal,2026-02-19
C00336,Customer 00336,Female,53,Dammam,New,2025-04-17
C00337,Customer 00337,Male,53,Riyadh,Loyal,2024-09-25
C00338,Customer 00338,Male,43,Makkah,Loyal,2025-12-20
C00339,Customer 00339,Female,29,Abha,New,2024-11-02
C00340,Customer 00340,Female,52,Makkah,Returning,2024-11-30
C00341,Customer 00341,Male,43,Khobar,Returning,2024-04-20
C00342,Customer 00342,Female,48,Jeddah,New,2024-01-16
C00343,Customer 00343,Female,56,Abha,Returning,2026-05-24
C00344,Customer 00344,Female,24,Jeddah,Loyal,2024-06-01
C00345,Customer 00345,Male,62,Madinah,Returning,2026-01-15
C00346,Customer 00346,Male,28,Dammam,New,2024-06-17
C00347,Customer 00347,Male,21,Dammam,Loyal,2024-03-19
C00348,Customer 00348,Female,24,Jeddah,Loyal,2025-10-23
C00349,Customer 00349,Female,55,Jeddah,Returning,2025-01-03
C00350,Customer 00350,Female,48,Dammam,Returning,2026-04-24
C00351,Customer 00351,Male,39,Dammam,Returning,2024-05-31
C00352,Customer 00352,Male,26,Jeddah,Loyal,2025-12-04
C00353,Customer 00353,Female,25,Dammam,New,2025-12-20
C00354,Customer 00354,Female,33,Jeddah,Returning,2025-08-04
C00355,Customer 00355,Male,21,Khobar,Loyal,2024-07-04
C00356,Customer 00356,Female,28,Abha,Returning,2025-08-08
C00357,Customer 00357,Male,32,Jeddah,Returning,2024-08-11
C00358,Customer 00358,Female,44,Dammam,Returning,2025-02-04
C00359,Customer 00359,Female,47,Riyadh,New,2024-10-21
C00360,Customer 00360,Male,50,Madinah,Returning,2025-07-02
C00361,Customer 00361,Male,39,Abha,Returning,2025-01-26
C00362,Customer 00362,Female,28,Khobar,Returning,2026-01-19
C00363,Customer 00363,Female,29,Abha,Loyal,2025-02-21
C00364,Customer 00364,Male,54,Jeddah,Returning,2025-05-01
C00365,Customer 00365,Male,47,Jeddah,Loyal,2026-04-16
C00366,Customer 00366,Female,43,Khobar,Returning,2026-06-17
C00367,Customer 00367,Male,21,Jeddah,Returning,2025-08-24
C00368,Customer 00368,Male,62,Makkah,Returning,2025-05-16
C00369,Customer 00369,Male,64,Khobar,Returning,2025-06-14
C00370,Customer 00370,Male,28,Dammam,New,2025-06-12
C00371,Customer 00371,Female,38,Madinah,Loyal,2025-04-29
C00372,Customer 00372,Male,19,Madinah,Returning,2026-05-27
C00373,Customer 00373,Female,63,Jeddah,New,2024-12-27
C00374,Customer 00374,Male,33,Riyadh,Returning,2024-10-04
C00375,Customer 00375,Female,54,Dammam,New,2024-08-12
C00376,Customer 00376,Female,42,Khobar,Loyal,2025-03-18
C00377,Customer 00377,Male,65,Dammam,New,2025-10-14
C00378,Customer 00378,Female,30,Dammam,New,2025-07-28
C00379,Customer 00379,Female,65,Abha,Loyal,2024-04-08
C00380,Customer 00380,Female,48,Dammam,Loyal,2024-12-27
C00381,Customer 00381,Female,27,Dammam,Returning,2025-08-24
C00382,Customer 00382,Female,32,Riyadh,Returning,2024-08-05
C00383,Customer 00383,Female,65,Makkah,Loyal,2025-06-07
C00384,Customer 00384,Female,30,Khobar,Returning,2025-07-27
C00385,Customer 00385,Female,44,Jeddah,Returning,2025-06-02
C00386,Customer 00386,Male,37,Dammam,Returning,2025-12-27
C00387,Customer 00387,Male,33,Dammam,New,2025-01-22
C00388,Customer 00388,Male,58,Makkah,Returning,2024-02-20
C00389,Customer 00389,Male,54,Jeddah,Returning,2024-06-08
C00390,Customer 00390,Female,33,Khobar,New,2024-08-17
C00391,Customer 00391,Male,31,Khobar,New,2024-01-10
C00392,Customer 00392,Female,45,Khobar,New,2024-01-21
C00393,Customer 00393,Male,25,Jeddah,Returning,2024-07-24
C00394,Customer 00394,Female,39,Madinah,New,2025-02-10
C00395,Customer 00395,Male,60,Madinah,New,2025-05-08
C00396,Customer 00396,Male,61,Madinah,Returning,2025-09-05
C00397,Customer 00397,Female,27,Khobar,Returning,2024-05-06
C00398,Customer 00398,Male,46,Riyadh,Loyal,2026-02-23
C00399,Customer 00399,Male,32,Makkah,Returning,2025-11-25
C00400,Customer 00400,Male,28,Abha,New,2024-04-04
C00401,Customer 00401,Male,52,Riyadh,New,2024-10-19
C00402,Customer 00402,Female,48,Makkah,Returning,2025-07-22
C00403,Customer 00403,Male,56,Makkah,Returning,2024-02-11
C00404,Customer 00404,Male,40,Khobar,Returning,2025-09-17
C00405,Customer 00405,Male,20,Riyadh,New,2025-06-01
C00406,Customer 00406,Female,37,Riyadh,New,2024-05-05
C00407,Customer 00407,Female,62,Makkah,New,2025-07-01
C00408,Customer 00408,Female,18,Makkah,Loyal,2025-04-11
C00409,Customer 00409,Female,18,Makkah,Loyal,2025-10-05
C00410,Customer 00410,Female,61,Riyadh,Loyal,2024-06-21
C00411,Customer 00411,Female,21,Abha,Loyal,2024-02-24
C00412,Customer 00412,Female,47,Khobar,Returning,2025-07-28
C00413,Customer 00413,Male,25,Makkah,Returning,2025-09-29
C00414,Customer 00414,Male,53,Madinah,Loyal,2025-04-16
C00415,Customer 00415,Female,42,Abha,Returning,2026-04-15
C00416,Customer 00416,Male,53,Jeddah,Returning,2026-05-22
C00417,Customer 00417,Female,28,Dammam,Returning,2025-06-17
C00418,Customer 00418,Female,53,Makkah,New,2026-05-02
C00419,Customer 00419,Male,36,Madinah,Loyal,2025-12-07
C00420,Customer 00420,Male,47,Madinah,Loyal,2024-04-21
C00421,Customer 00421,Male,51,Jeddah,Loyal,2025-05-03
C00422,Customer 00422,Male,22,Makkah,Returning,2026-02-10
C00423,Customer 00423,Female,21,Dammam,Returning,2025-11-10
C00424,Customer 00424,Female,31,Jeddah,Returning,2024-01-23
C00425,Customer 00425,Male,42,Abha,Loyal,2024-02-01
C00426,Customer 00426,Male,63,Abha,Returning,2024-06-19
C00427,Customer 00427,Male,60,Dammam,Returning,2024-09-11
C00428,Customer 00428,Male,25,Riyadh,Returning,2024-04-29
C00429,Customer 00429,Male,31,Makkah,New,2024-07-07
C00430,Customer 00430,Male,37,Madinah,Returning,2024-08-29
C00431,Customer 00431,Male,19,Dammam,Returning,2024-10-02
C00432,Customer 00432,Male,49,Dammam,New,2025-01-06
C00433,Customer 00433,Male,29,Makkah,Returning,2024-10-18
C00434,Customer 00434,Female,56,Abha,Returning,2026-02-01
C00435,Customer 00435,Female,46,Riyadh,New,2025-07-23
C00436,Customer 00436,Male,34,Abha,Returning,2025-10-26
C00437,Customer 00437,Male,55,Jeddah,Loyal,2024-10-19
C00438,Customer 00438,Male,46,Khobar,Loyal,2026-03-24
