product_id,product_name,category,revenue,profit,units,profit_margin
P0051,Brand A Accessories 51,Fashion,2594565.81,665691.16,2105,0.2566
P0052,Brand B Kids 52,Fashion,4065918.14,1052657.12,2079,0.2589
P0053,Brand A Accessories 53,Fashion,633583.87,200872.99,1869,0.317
P0054,Brand B Small Appliance 54,Home Appliances,2358812.5,581711.37,2009,0.2466
P0055,Brand B Coffee 55,Food & Beverage,3562886.03,260378.0,1983,0.0731
P0056,Brand D Men 56,Fashion,462442.94,47358.14,2080,0.1024
P0057,Private Label Refrigerator 57,Home Appliances,3342864.32,1073793.8800000001,2107,0.3212
P0058,Brand C Coffee 58,Food & Beverage,2987552.46,192045.98,1976,0.0643
P0059,Brand E Mobile 59,Electronics,3067453.39,385881.29,1867,0.1258
P0060,Brand D Microwave 60,Home Appliances,3763669.84,868530.84,1852,0.2308
P0061,Brand C Refrigerator 61,Home Appliances,2015027.62,492765.19,1971,0.2445
P0062,Brand C Beverages 62,Food & Beverage,1136718.51,145990.59,2184,0.1284
P0063,Brand E Accessories 63,Fashion,444402.76,35000.409999999996,2063,0.0788
P0064,Brand A Women 64,Fashion,3447941.77,515767.82,1973,0.1496
P0065,Private Label Accessories 65,Electronics,733477.16,104949.56,2052,0.1431
P0066,Brand A Laptop 66,Electronics,96444.26,7347.5599999999995,1862,0.0762
P0067,Brand A Accessories 67,Electronics,2758907.92,693105.82,1934,0.2512
P0068,Brand B Small Appliance 68,Home Appliances,2495391.81,762328.01,1898,0.3055
P0069,Brand A Coffee 69,Food & Beverage,744750.48,96757.68000000001,1935,0.1299
P0070,Brand D Audio 70,Electronics,1588596.45,112356.40000000001,1955,0.0707
P0071,Brand D Small Appliance 71,Home Appliances,564514.06,165558.84,2078,0.2933
P0072,Private Label Laptop 72,Electronics,520520.61,153009.6,1961,0.294
P0073,Private Label Beverages 73,Food & Beverage,3792633.18,1056055.59,1893,0.2784
P0074,Brand E Footwear 74,Fashion,658534.29,139023.94,2071,0.2111
P0075,Private Label Small Appliance 75,Home Appliances,1996314.05,346323.17,1968,0.1735
P0076,Brand B Women 76,Fashion,642030.53,125033.0,1987,0.1947
P0077,Brand B Microwave 77,Home Appliances,1659930.2,274809.3,2074,0.1656
P0078,Brand C Air Conditioner 78,Home Appliances,2623051.69,380737.93,1812,0.1452
P0079,Private Label Packaged Food 79,Food & Beverage,2013880.68,305312.22,1962,0.1516
P0080,Private Label Small Appliance 80,Home Appliances,3378921.03,955507.62,2057,0.2828
P0081,Brand D Microwave 81,Home Appliances,1446245.29,384129.29,2020,0.2656
P0082,Brand E Laptop 82,Electronics,3599684.0,363393.97,2087,0.101
P0083,Brand A Footwear 83,Fashion,2944904.66,249611.89,2059,0.0848
P0084,Brand A Packaged Food 84,Food & Beverage,4936449.74,1383518.54,2058,0.2803
P0085,Brand E Kids 85,Fashion,4171261.53,1357772.15,1963,0.3255
P0086,Brand D Audio 86,Electronics,466203.41,108265.23,1987,0.2322
P0087,Brand D Television 87,Electronics,2615388.88,500564.27999999997,2044,0.1914
P0088,Brand E Microwave 88,Home Appliances,3443685.94,696366.39,1907,0.2022
P0089,Private Label Men 89,Fashion,470770.15,45235.11,1897,0.0961
P0090,Brand D Laptop 90,Electronics,1989803.99,560782.57,1882,0.2818
P0091,Brand C Footwear 91,Fashion,4432892.2299999995,1222621.51,1984,0.2758
P0092,Brand C Audio 92,Electronics,1329060.59,147271.04,2063,0.1108
P0093,Private Label Television 93,Electronics,1944454.6,325000.6,2040,0.1671
P0094,Brand D Men 94,Fashion,4435399.67,1225845.91,1904,0.2764
P0095,Brand C Refrigerator 95,Home Appliances,4356402.92,1143492.29,1809,0.2625
P0096,Brand A Coffee 96,Food & Beverage,3854745.9899999998,930812.31,1908,0.2415
P0097,Brand D Laptop 97,Electronics,2717053.77,181404.49,2048,0.0668
P0098,Brand E Microwave 98,Home Appliances,1247707.76,238202.7,1874,0.1909
P0099,Brand B Refrigerator 99,Home Appliances,4691788.79,1332494.48,2031,0.284
P0100,Private Label Mobile 100,Electronics,3741250.69,521446.28,2033,0.1394
P0101,Brand A Snacks 101,Food & Beverage,4462920.96,1099912.96,1870,0.2465
P0102,Brand A Footwear 102,Fashion,3724501.06,275002.91000000003,2135,0.0738
P0103,Brand A Laptop 103,Electronics,3266620.71,395780.21,2050,0.1212
P0104,Brand D Beverages 104,Food & Beverage,160235.91,10327.53,2006,0.0645
P0105,Brand D Accessories 105,Electronics,3555925.92,449928.42000000004,2150,0.1265
P0106,Brand A Beverages 106,Food & Beverage,4195308.9399999995,1346829.65,1973,0.321
P0107,Brand E Household 107,Food & Beverage,3222925.63,252794.97,1967,0.0784
P0108,Brand A Television 108,Electronics,2431900.57,663206.5,1937,0.2727
P0109,Private Label Men 109,Fashion,710780.82,189520.69,1811,0.2666
P0110,Brand B Television 110,Electronics,4098506.96,1367990.6,2132,0.3338
P0111,Brand A Kids 111,Fashion,2417797.47,184738.33000000002,2006,0.0764
P0112,Brand E Coffee 112,Food & Beverage,700425.2,63824.200000000004,1990,0.0911
P0113,Private Label Mobile 113,Electronics,2248157.24,633873.98,1943,0.282
P0114,Brand D Accessories 114,Fashion,821193.8,265986.56,2058,0.3239
P0115,Brand D Air Conditioner 115,Home Appliances,3181888.28,779160.48,1903,0.2449
P0116,Brand A Snacks 116,Food & Beverage,2248979.81,397120.46,2013,0.1766
P0117,Brand A Refrigerator 117,Home Appliances,614399.24,87336.0,2108,0.1421
P0118,Brand C Microwave 118,Home Appliances,2784114.14,677208.11,1909,0.2432
P0119,Brand C Refrigerator 119,Home Appliances,957763.0,217378.31999999998,1853,0.227
P0120,Brand A Small Appliance 120,Home Appliances,1848148.91,359867.57,1961,0.1947
P0121,Brand D Television 121,Electronics,2835056.39,740505.35,2048,0.2612
P0122,Brand D Kids 122,Fashion,1648802.62,465657.54,2054,0.2824
P0123,Brand C Refrigerator 123,Home Appliances,2616062.51,415992.75,1946,0.159
P0124,Brand E Small Appliance 124,Home Appliances,4655316.87,1479560.13,1989,0.3178
P0125,Brand D Microwave 125,Home Appliances,3453506.21,529596.65,2028,0.1534
P0126,Brand C Beverages 126,Food & Beverage,501556.66000000003,41363.2,2117,0.0825
P0127,Brand A Household 127,Food & Beverage,1183500.99,181461.75,1956,0.1533
P0128,Brand B Audio 128,Electronics,2896351.61,196080.89,2016,0.0677
P0129,Private Label Packaged Food 129,Food & Beverage,1530774.69,152373.39,2038,0.0995
P0130,Brand A Footwear 130,Fashion,1887261.3499999999,620530.25,1910,0.3288
P0131,Brand E Coffee 131,Food & Beverage,1392367.7,350353.52,1839,0.2516
P0132,Brand C Footwear 132,Fashion,2499760.93,162237.13,2020,0.0649
P0133,Brand D Audio 133,Electronics,663876.38,74327.43000000001,1945,0.112
P0134,Private Label Household 134,Food & Beverage,2933675.05,868009.6,2055,0.2959
P0135,Brand A Packaged Food 135,Food & Beverage,1985242.59,335339.43,2031,0.1689
P0136,Brand E Accessories 136,Electronics,1920664.04,372910.76,1968,0.1942
P0137,Brand B Mobile 137,Electronics,3550050.9,259738.82,2014,0.0732
P0138,Brand B Television 138,Electronics,2225073.73,494546.23,1950,0.2223
P0139,Brand A Refrigerator 139,Home Appliances,1285876.69,382402.69,2025,0.2974
P0140,Brand D Kids 140,Fashion,3250660.34,895452.3200000001,1947,0.2755
P0141,Brand C Audio 141,Electronics,2449790.68,385103.68,2116,0.1572
P0142,Brand C Beverages 142,Food & Beverage,3811151.17,1126779.09,1937,0.2957
P0143,Private Label Air Conditioner 143,Home Appliances,3083441.01,907432.5599999999,2051,0.2943
P0144,Brand C Air Conditioner 144,Home Appliances,2079700.78,191845.06,1964,0.0922
P0145,Private Label Small Appliance 145,Home Appliances,2507623.32,286202.82,1950,0.1141
P0146,Brand B Washing Machine 146,Home Appliances,155140.68,49219.9,1946,0.3173
P0147,Brand B Air Conditioner 147,Home Appliances,2326015.2,145093.61000000002,2017,0.0624
P0148,Brand E Television 148,Electronics,3510031.25,1176497.7,2039,0.3352
P0149,Brand C Accessories 149,Fashion,4008214.02,1248564.42,2010,0.3115
P0150,Private Label Women 150,Fashion,3801033.4,1140759.67,1887,0.3001
P0151,Brand E Laptop 151,Electronics,2040746.55,439642.23,2007,0.2154
P0152,Private Label Kids 152,Fashion,4100295.46,608687.16,1970,0.1484
P0153,Brand E Accessories 153,Fashion,1377111.54,131166.6,1977,0.0952
P0154,Brand E Laptop 154,Electronics,2637685.66,883183.42,1979,0.3348
P0155,Private Label Washing Machine 155,Home Appliances,2106943.3,594088.58,2026,0.282
P0156,Brand D Mobile 156,Electronics,4505841.42,1449652.76,2114,0.3217
P0157,Brand A Beverages 157,Food & Beverage,1567782.95,119380.48999999999,2139,0.0761
P0158,Brand E Accessories 158,Electronics,3507433.09,968714.7999999999,1973,0.2762
P0159,Brand E Packaged Food 159,Food & Beverage,3150463.58,228698.14,2024,0.0726
P0160,Brand D Television 160,Electronics,3276861.84,218794.72,1978,0.0668
P0161,Brand E Washing Machine 161,Home Appliances,151069.46,26455.46,1978,0.1751
P0162,Brand E Packaged Food 162,Food & Beverage,1263184.94,383221.33,2021,0.3034
P0163,Private Label Microwave 163,Home Appliances,1462766.73,330028.15,2078,0.2256
P0164,Brand B Refrigerator 164,Home Appliances,3365540.29,372874.73,1874,0.1108
P0165,Brand C Audio 165,Electronics,3452484.0,990211.86,1902,0.2868
P0166,Brand B Packaged Food 166,Food & Beverage,1643737.28,167738.6,1994,0.102
P0167,Private Label Men 167,Fashion,3194123.38,734515.28,1945,0.23
P0168,Private Label Air Conditioner 168,Home Appliances,2046129.6700000002,212989.43,2038,0.1041
P0169,Brand A Refrigerator 169,Home Appliances,850771.49,59391.29,2130,0.0698
P0170,Brand D Small Appliance 170,Home Appliances,1389161.04,255087.2,1816,0.1836
P0171,Brand E Household 171,Food & Beverage,2397631.58,335733.54,2108,0.14
P0172,Brand B Beverages 172,Food & Beverage,1795406.33,564482.25,2078,0.3144
P0173,Brand E Small Appliance 173,Home Appliances,2719890.08,657615.32,1932,0.2418
P0174,Brand B Accessories 174,Electronics,1345900.8,142605.06,2049,0.106
P0175,Brand B Snacks 175,Food & Beverage,2877961.42,811278.9,2036,0.2819
P0176,Brand C Packaged Food 176,Food & Beverage,2624732.79,890245.2899999999,2011,0.3392
P0177,Brand E Women 177,Fashion,4397189.11,1248460.02,1937,0.2839
P0178,Brand D Television 178,Electronics,505042.25,124879.61,1976,0.2473
P0179,Brand D Packaged Food 179,Food & Beverage,1648387.15,123093.29,1943,0.0747
P0180,Brand A Packaged Food 180,Food & Beverage,189862.4,24807.12,1976,0.1307
